t,total_ins_0,"f(0, 0)","f(0, 1)","f(0, 2)","f(0, 3)","f(0, 4)",Soma(0)
0.0000000000,0.9375000000,0.0625000000,0.2500000000,0.3750000000,0.2500000000,0.0625000000,1.0000000000
0.0000000000,0.9375000000,0.0625000000,0.2500000000,0.3750000000,0.2500000000,0.0625000000,1.0000000000
0.0100000000,0.9356871126,0.0606977031,0.2487356503,0.3749952142,0.2512585450,0.0643128874,1.0000000000
0.0200000000,0.9339911076,0.0590321109,0.2474529031,0.3749805737,0.2525255200,0.0660088924,1.0000000000
0.0300000000,0.9324019144,0.0574911854,0.2461650740,0.3749558737,0.2537897813,0.0675980856,1.0000000000
0.0400000000,0.9309105851,0.0560641145,0.2448829853,0.3749211555,0.2550423297,0.0690894149,1.0000000000
0.0500000000,0.9295091465,0.0547411708,0.2436153564,0.3748766544,0.2562759649,0.0704908535,1.0000000000
0.0600000000,0.9281904744,0.0535135874,0.2423691356,0.3748227559,0.2574849955,0.0718095256,1.0000000000
0.0700000000,0.9269481853,0.0523734506,0.2411497827,0.3747599580,0.2586649940,0.0730518147,1.0000000000
0.0800000000,0.9257765437,0.0513136053,0.2399615093,0.3746888397,0.2598125894,0.0742234563,1.0000000000
0.0900000000,0.9246703827,0.0503275718,0.2388074828,0.3746100352,0.2609252929,0.0753296173,1.0000000000
0.1000000000,0.9236250352,0.0494094735,0.2376900006,0.3745242122,0.2620013489,0.0763749648,1.0000000000
0.1100000000,0.9226362745,0.0485539726,0.2366106367,0.3744320545,0.2630396107,0.0773637255,1.0000000000
0.1200000000,0.9217002630,0.0477562134,0.2355703676,0.3743342483,0.2640394338,0.0782997370,1.0000000000
0.1300000000,0.9208135076,0.0470117729,0.2345696778,0.3742314704,0.2650005865,0.0791864924,1.0000000000
0.1400000000,0.9199728210,0.0463166163,0.2336086499,0.3741243806,0.2659231741,0.0800271790,1.0000000000
0.1500000000,0.9191752877,0.0456670584,0.2326870403,0.3740136143,0.2668075747,0.0808247123,1.0000000000
0.1600000000,0.9184182349,0.0450597285,0.2318043434,0.3738997779,0.2676543851,0.0815817651,1.0000000000
0.1700000000,0.9176992065,0.0444915400,0.2309598455,0.3737834458,0.2684643753,0.0823007935,1.0000000000
0.1800000000,0.9170159407,0.0439596630,0.2301526702,0.3736651574,0.2692384501,0.0829840593,1.0000000000
0.1900000000,0.9163663499,0.0434614997,0.2293818165,0.3735454167,0.2699776170,0.0836336501,1.0000000000
0.2000000000,0.9157485035,0.0429946628,0.2286461904,0.3734246912,0.2706829591,0.0842514965,1.0000000000
0.2100000000,0.9151606126,0.0425569562,0.2279446315,0.3733034120,0.2713556129,0.0848393874,1.0000000000
0.2200000000,0.9146010163,0.0421463571,0.2272759350,0.3731819749,0.2719967492,0.0853989837,1.0000000000
0.2300000000,0.9140681698,0.0417610011,0.2266388699,0.3730607407,0.2726075580,0.0859318302,1.0000000000
0.2400000000,0.9135606338,0.0413991675,0.2260321937,0.3729400369,0.2731892356,0.0864393662,1.0000000000
0.2500000000,0.9130770651,0.0410592672,0.2254546648,0.3728201589,0.2737429742,0.0869229349,1.0000000000
0.2600000000,0.9126162079,0.0407398308,0.2249050519,0.3727013716,0.2742699536,0.0873837921,1.0000000000
